country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Finland,2018,0.874,1.592,1.305,0.681,0.202,0.393,,7.632
Norway,2018,0.861,1.582,1.456,0.686,0.286,0.34,,7.594
Denmark,2018,0.868,1.59,1.351,0.683,0.284,0.408,,7.555
Iceland,2018,0.914,1.644,1.343,0.677,0.353,0.138,,7.495
Switzerland,2018,0.927,1.549,1.42,0.66,0.256,0.357,,7.487
Netherlands,2018,0.878,1.488,1.361,0.638,0.333,0.295,,7.441
Canada,2018,0.896,1.532,1.33,0.653,0.321,0.291,,7.328
New Zealand,2018,0.876,1.601,1.268,0.669,0.365,0.389,,7.324
Sweden,2018,0.913,1.501,1.355,0.659,0.285,0.383,,7.314
Australia,2018,0.91,1.573,1.34,0.647,0.361,0.302,,7.272
United Kingdom,2018,0.888,1.433,1.244,0.464,0.262,0.082,,7.19
Austria,2018,0.891,1.504,1.341,0.617,0.242,0.224,,7.139
Costa Rica,2018,0.817,1.459,1.01,0.632,0.143,0.101,,7.072
Ireland,2018,0.876,1.583,1.448,0.614,0.307,0.306,,6.977
Germany,2018,0.861,1.474,1.34,0.586,0.273,0.28,,6.965
Belgium,2018,0.894,1.483,1.324,0.583,0.188,0.24,,6.927
Luxembourg,2018,0.896,1.52,1.576,0.632,0.196,0.321,,6.91
United States,2018,0.819,1.471,1.398,0.547,0.291,0.133,,6.886
Israel,2018,0.883,1.559,1.301,0.533,0.354,0.272,,6.814
United Arab Emirates,2018,0.67,0.776,2.096,0.284,0.186,,,6.774
Czech Republic,2018,0.854,1.489,1.233,0.543,0.064,0.034,,6.711
Malta,2018,0.884,1.525,1.27,0.645,0.376,0.142,,6.627
France,2018,0.908,1.466,1.293,0.52,0.098,0.176,,6.489
Mexico,2018,0.761,1.252,1.038,0.479,0.069,0.095,,6.488
Chile,2018,0.808,1.331,1.131,0.431,0.197,0.061,,6.476
Taiwan,2018,0.857,1.436,1.365,0.418,0.151,0.078,,6.441
Panama,2018,0.759,1.438,1.112,0.597,0.125,0.063,,6.43
Brazil,2018,0.675,1.474,0.986,0.493,0.11,0.088,,6.419
Argentina,2018,0.744,1.468,1.073,0.57,0.062,0.054,,6.388
Guatemala,2018,0.608,1.268,0.781,0.604,0.179,0.071,,6.382
Uruguay,2018,0.771,1.459,1.093,0.625,0.13,0.155,,6.379
Qatar,2018,0.748,1.303,1.649,0.654,0.256,0.171,,6.374
Saudi Arabia,2018,0.633,1.331,1.379,0.509,0.098,0.127,,6.371
Singapore,2018,1.008,1.451,1.529,0.631,0.261,0.457,,6.343
Malaysia,2018,0.669,1.258,1.161,0.356,0.311,0.059,,6.322
Spain,2018,0.965,1.538,1.251,0.449,0.142,0.074,,6.31
Colombia,2018,0.635,1.439,0.96,0.531,0.099,0.039,,6.26
Trinidad & Tobago,2018,0.564,1.492,1.223,0.575,0.171,0.019,,6.192
Slovakia,2018,0.776,1.537,1.21,0.354,0.118,0.014,,6.173
El Salvador,2018,0.639,1.231,0.806,0.461,0.065,0.082,,6.167
Nicaragua,2018,0.7,1.319,0.668,0.527,0.208,0.128,,6.141
Poland,2018,0.781,1.448,1.176,0.546,0.108,0.064,,6.123
Bahrain,2018,0.698,1.366,1.338,0.594,0.243,0.123,,6.105
Uzbekistan,2018,0.605,1.584,0.719,0.724,0.328,0.259,,6.096
Kuwait,2018,0.675,1.301,1.474,0.554,0.167,0.106,,6.083
Thailand,2018,0.707,1.417,1.016,0.637,0.364,0.029,,6.072
Italy,2018,0.946,1.501,1.264,0.281,0.137,0.028,,6
Ecuador,2018,0.736,1.33,0.889,0.556,0.114,0.12,,5.973
Belize,2018,0.474,1.101,0.807,0.593,0.183,0.089,,5.956
Lithuania,2018,0.716,1.527,1.197,0.35,0.026,0.006,,5.952
Slovenia,2018,0.856,1.506,1.219,0.633,0.16,0.051,,5.948
Romania,2018,0.726,1.219,1.116,0.528,0.088,0.001,,5.945
Latvia,2018,0.671,1.454,1.148,0.363,0.092,0.066,,5.933
Japan,2018,0.988,1.462,1.294,0.553,0.079,0.15,,5.915
Mauritius,2018,0.684,1.387,1.09,0.584,0.245,0.05,,5.891
Jamaica,2018,0.693,1.493,0.819,0.575,0.096,0.031,,5.89
South Korea,2018,0.955,1.204,1.266,0.244,0.175,0.051,,5.875
Northern Cyprus,2018,0.909,1.211,1.229,0.495,0.179,0.154,,5.835
Russia,2018,0.599,1.479,1.151,0.399,0.065,0.025,,5.81
Kazakhstan,2018,0.631,1.516,1.143,0.454,0.148,0.121,,5.79
Cyprus,2018,0.909,1.191,1.229,0.423,0.202,0.035,,5.762
Bolivia,2018,0.508,1.223,0.751,0.606,0.141,0.054,,5.752
Estonia,2018,0.737,1.532,1.2,0.553,0.086,0.174,,5.739
Paraguay,2018,0.615,1.522,0.835,0.541,0.162,0.074,,5.681
Peru,2018,0.674,1.249,0.934,0.53,0.092,0.034,,5.663
Kosovo,2018,0.578,1.23,0.855,0.448,0.274,0.023,,5.662
Moldova,2018,0.62,1.301,0.657,0.232,0.171,0,,5.64
Turkmenistan,2018,0.517,1.533,1.016,0.417,0.199,0.037,,5.636
Hungary,2018,0.732,1.401,1.171,0.259,0.061,0.022,,5.62
Libya,2018,0.553,1.35,0.985,0.496,0.116,0.148,,5.566
Philippines,2018,0.513,1.312,0.775,0.643,0.12,0.105,,5.524
Honduras,2018,0.622,1.205,0.62,0.459,0.197,0.074,,5.504
Belarus,2018,0.7,1.498,1.039,0.307,0.101,0.154,,5.483
Turkey,2018,0.686,1.38,1.148,0.324,0.106,0.109,,5.483
Pakistan,2018,0.424,0.81,0.652,0.334,0.216,0.113,,5.472
Hong Kong,2018,1.03,1.29,1.405,0.524,0.246,0.291,,5.43
Portugal,2018,0.884,1.429,1.188,0.562,0.055,0.017,,5.41
Serbia,2018,0.685,1.369,0.975,0.288,0.134,0.043,,5.398
Greece,2018,0.879,1.202,1.154,0.131,0,0.044,,5.358
Lebanon,2018,0.785,1.179,0.965,0.503,0.214,0.136,,5.358
Montenegro,2018,0.729,1.279,1.017,0.259,0.111,0.081,,5.347
Croatia,2018,0.737,1.161,1.115,0.38,0.12,0.039,,5.321
Dominican Republic,2018,0.614,1.441,0.982,0.578,0.12,0.106,,5.302
Algeria,2018,0.687,1.154,0.979,0.077,0.055,0.135,,5.295
Morocco,2018,0.669,0.797,0.779,0.46,0.026,0.074,,5.254
China,2018,0.799,1.142,0.989,0.597,0.029,0.103,,5.246
Azerbaijan,2018,0.603,1.161,1.024,0.43,0.031,0.176,,5.201
Tajikistan,2018,0.598,1.166,0.474,0.292,0.187,0.034,,5.199
Macedonia,2018,0.691,1.239,0.959,0.394,0.173,0.052,,5.185
Jordan,2018,0.645,1.265,0.822,0.468,0.13,0.134,,5.161
Nigeria,2018,0.048,1.172,0.689,0.462,0.201,0.032,,5.155
Kyrgyzstan,2018,0.594,1.416,0.53,0.54,0.281,0.035,,5.131
Bosnia and Herzegovina,2018,0.758,1.078,0.915,0.28,0.216,0,,5.129
Mongolia,2018,0.575,1.517,0.914,0.395,0.253,0.032,,5.125
Vietnam,2018,0.702,1.365,0.715,0.618,0.177,0.079,,5.103
Indonesia,2018,0.522,1.215,0.899,0.538,0.484,0.018,,5.093
Bhutan,2018,0.527,1.335,0.796,0.541,0.364,0.171,,5.082
Somalia,2018,0.115,0.712,0,0.674,0.238,0.282,,4.982
Cameroon,2018,0.182,0.891,0.535,0.454,0.183,0.043,,4.975
Bulgaria,2018,0.712,1.515,1.054,0.359,0.064,0.009,,4.933
Nepal,2018,0.539,1.228,0.425,0.526,0.302,0.078,,4.88
Venezuela,2018,0.657,1.469,0.996,0.133,0.056,0.052,,4.806
Gabon,2018,0.404,1.164,1.036,0.356,0.032,0.052,,4.758
Palestinian Territories,2018,0.602,1.217,0.642,0.266,0.086,0.076,,4.743
South Africa,2018,0.33,1.41,0.94,0.516,0.103,0.056,,4.724
Iran,2018,0.691,0.771,1.059,0.459,0.282,0.129,,4.707
Ivory Coast,2018,0.08,0.872,0.541,0.467,0.146,0.103,,4.671
Ghana,2018,0.337,0.896,0.592,0.499,0.212,0.029,,4.657
Senegal,2018,0.433,1.117,0.429,0.406,0.138,0.082,,4.631
Laos,2018,0.441,1.034,0.72,0.626,0.23,0.174,,4.623
Tunisia,2018,0.69,0.906,0.9,0.271,0.04,0.063,,4.592
Albania,2018,0.79,0.817,0.916,0.419,0.149,0.032,,4.586
Sierra Leone,2018,0,0.813,0.256,0.355,0.238,0.053,,4.571
Congo (Brazzaville),2018,0.343,0.811,0.682,0.514,0.091,0.077,,4.559
Bangladesh,2018,0.579,0.85,0.532,0.58,0.153,0.144,,4.5
Sri Lanka,2018,0.672,1.314,0.918,0.585,0.307,0.05,,4.471
Iraq,2018,0.536,0.971,1.01,0.304,0.148,0.095,,4.456
Mali,2018,0.152,1.233,0.37,0.367,0.139,0.056,,4.447
Namibia,2018,0.365,1.281,0.874,0.519,0.051,0.064,,4.441
Cambodia,2018,0.457,1.088,0.549,0.696,0.256,0.065,,4.433
Burkina Faso,2018,0.254,1.097,0.314,0.312,0.175,0.128,,4.424
Egypt,2018,0.553,1.025,0.885,0.312,0.092,0.107,,4.419
Mozambique,2018,0.173,0.902,0.198,0.531,0.206,0.158,,4.417
Kenya,2018,0.454,1.048,0.493,0.504,0.352,0.055,,4.41
Zambia,2018,0.295,1.047,0.562,0.503,0.221,0.082,,4.377
Mauritania,2018,0.292,1.245,0.557,0.129,0.134,0.093,,4.356
Ethiopia,2018,0.391,0.95,0.308,0.452,0.22,0.146,,4.35
Georgia,2018,0.643,0.592,0.853,0.375,0.038,0.215,,4.34
Armenia,2018,0.666,0.99,0.816,0.26,0.077,0.028,,4.321
Myanmar,2018,0.429,1.174,0.682,0.58,0.598,0.178,,4.308
Chad,2018,0.053,0.907,0.358,0.189,0.181,0.06,,4.301
Congo (Kinshasa),2018,0.204,1.136,0.069,0.312,0.197,0.052,,4.245
India,2018,0.485,0.747,0.721,0.539,0.172,0.093,,4.19
Niger,2018,0.221,0.867,0.131,0.39,0.175,0.099,,4.166
Uganda,2018,0.237,1.09,0.322,0.45,0.259,0.061,,4.161
Benin,2018,0.24,0.372,0.378,0.44,0.163,0.067,,4.141
Sudan,2018,0.312,1.24,0.605,0.016,0.134,0.082,,4.139
Ukraine,2018,0.609,1.413,0.793,0.163,0.187,0.011,,4.103
Togo,2018,0.253,0.474,0.259,0.434,0.158,0.101,,3.999
Guinea,2018,0.211,0.792,0.344,0.394,0.185,0.094,,3.964
Lesotho,2018,0.079,1.215,0.472,0.423,0.116,0.112,,3.808
Angola,2018,0.269,1.125,0.73,0,0.079,0.061,,3.795
Madagascar,2018,0.402,0.908,0.262,0.221,0.155,0.049,,3.774
Zimbabwe,2018,0.248,1.094,0.357,0.406,0.132,0.099,,3.692
Afghanistan,2018,0.255,0.537,0.332,0.085,0.191,0.036,,3.632
Botswana,2018,0.417,1.174,1.017,0.557,0.042,0.092,,3.59
Malawi,2018,0.306,0.541,0.186,0.531,0.21,0.08,,3.587
Haiti,2018,0.289,0.714,0.315,0.025,0.392,0.104,,3.582
Liberia,2018,0.267,0.858,0.076,0.419,0.206,0.03,,3.495
Syria,2018,0.539,0.382,0.689,0.088,0.376,0.144,,3.462
Rwanda,2018,0.4,0.896,0.332,0.636,0.2,0.444,,3.408
Yemen,2018,0.343,1.073,0.442,0.244,0.083,0.064,,3.355
Tanzania,2018,0.381,0.991,0.455,0.481,0.27,0.097,,3.303
South Sudan,2018,0.177,0.608,0.337,0.112,0.224,0.106,,3.254
Central African Republic,2018,0.01,0,0.024,0.305,0.218,0.038,,3.083
Burundi,2018,0.145,0.627,0.091,0.065,0.149,0.076,,2.905
