country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Switzerland,2015,0.94143,1.34951,1.39651,0.66557,0.29678,0.41978,2.51738,7.587
Iceland,2015,0.94784,1.40223,1.30232,0.62877,0.4363,0.14145,2.70201,7.561
Denmark,2015,0.87464,1.36058,1.32548,0.64938,0.34139,0.48357,2.49204,7.527
Norway,2015,0.88521,1.33095,1.459,0.66973,0.34699,0.36503,2.46531,7.522
Canada,2015,0.90563,1.32261,1.32629,0.63297,0.45811,0.32957,2.45176,7.427
Finland,2015,0.88911,1.31826,1.29025,0.64169,0.23351,0.41372,2.61955,7.406
Netherlands,2015,0.89284,1.28017,1.32944,0.61576,0.4761,0.31814,2.4657,7.378
Sweden,2015,0.91087,1.28907,1.33171,0.6598,0.36262,0.43844,2.37119,7.364
New Zealand,2015,0.90837,1.31967,1.25018,0.63938,0.47501,0.42922,2.26425,7.286
Australia,2015,0.93156,1.30923,1.33358,0.65124,0.43562,0.35637,2.26646,7.284
Israel,2015,0.91387,1.22393,1.22857,0.41319,0.33172,0.07785,3.08854,7.278
Costa Rica,2015,0.86027,1.23788,0.95578,0.63376,0.25497,0.10583,3.17728,7.226
Austria,2015,0.89042,1.29704,1.33723,0.62433,0.33088,0.18676,2.5332,7.2
Mexico,2015,0.81444,0.91451,1.02054,0.48181,0.14074,0.21312,3.60214,7.187
United States,2015,0.86179,1.24711,1.39451,0.54604,0.40105,0.1589,2.51011,7.119
Brazil,2015,0.69702,1.23287,0.98124,0.49049,0.14574,0.17521,3.26001,6.983
Luxembourg,2015,0.91894,1.21963,1.56391,0.61583,0.28034,0.37798,1.96961,6.946
Ireland,2015,0.89533,1.36948,1.33596,0.61777,0.45901,0.28703,1.9757,6.94
Belgium,2015,0.89667,1.28566,1.30782,0.5845,0.2225,0.2254,2.41484,6.937
United Arab Emirates,2015,0.80925,1.12575,1.42727,0.64157,0.26428,0.38583,2.24743,6.901
United Kingdom,2015,0.90943,1.28548,1.26637,0.59625,0.51912,0.32067,1.96994,6.867
Oman,2015,0.76276,1.08182,1.36011,0.63274,0.21542,0.32524,2.47489,6.853
Venezuela,2015,0.72052,1.25596,1.04424,0.42908,0.05841,0.11069,3.19131,6.81
Singapore,2015,1.02525,1.02,1.52186,0.54252,0.31105,0.4921,1.88501,6.798
Panama,2015,0.79661,1.1985,1.06353,0.5421,0.24434,0.0927,2.84848,6.786
Germany,2015,0.89186,1.29937,1.32792,0.61477,0.28214,0.21843,2.11569,6.75
Chile,2015,0.85857,1.12447,1.10715,0.44132,0.33363,0.12869,2.67585,6.67
Qatar,2015,0.79733,1.0786,1.69042,0.6404,0.32573,0.52208,1.55674,6.611
France,2015,0.94579,1.26038,1.27778,0.55011,0.12332,0.20646,2.21126,6.575
Argentina,2015,0.78723,1.24823,1.05351,0.44974,0.11451,0.08484,2.836,6.574
Czech Republic,2015,0.84483,1.20643,1.17898,0.46364,0.10686,0.02652,2.67782,6.505
Uruguay,2015,0.8116,1.2089,1.06166,0.60362,0.2324,0.24558,2.32142,6.485
Colombia,2015,0.69077,1.24018,0.91861,0.53466,0.18401,0.0512,2.85737,6.477
Thailand,2015,0.7385,1.26504,0.9669,0.55664,0.5763,0.03187,2.31945,6.455
Saudi Arabia,2015,0.72025,1.08393,1.39541,0.31048,0.13706,0.32524,2.43872,6.411
Spain,2015,0.95562,1.31379,1.23011,0.45951,0.18227,0.06398,2.12367,6.329
Malta,2015,0.88721,1.30203,1.2074,0.60365,0.51752,0.13586,1.6488,6.302
Taiwan,2015,0.8753,1.07617,1.29098,0.3974,0.25376,0.08129,2.32323,6.298
Kuwait,2015,0.72492,1.16594,1.55422,0.55499,0.16228,0.25609,1.87634,6.295
Suriname,2015,0.6082,0.972,0.99534,0.59657,0.16991,0.13633,2.79094,6.269
Trinidad and Tobago,2015,0.61483,1.18354,1.21183,0.55884,0.31844,0.0114,2.26882,6.168
El Salvador,2015,0.67737,1.02507,0.76454,0.4035,0.10692,0.11776,3.035,6.13
Guatemala,2015,0.64425,1.04356,0.74553,0.57733,0.27489,0.09472,2.74255,6.123
Uzbekistan,2015,0.59772,1.34043,0.63244,0.65821,0.22837,0.30826,2.23741,6.003
Slovakia,2015,0.78902,1.26999,1.16891,0.31751,0.16893,0.03431,2.24639,5.995
Japan,2015,0.99111,1.25712,1.27074,0.49615,0.10705,0.1806,1.68435,5.987
South Korea,2015,0.96538,0.95774,1.24461,0.33208,0.18557,0.07857,2.21978,5.984
Ecuador,2015,0.79075,0.99903,0.86402,0.48574,0.11541,0.1809,2.53942,5.975
Bahrain,2015,0.74716,1.21624,1.32376,0.45492,0.17362,0.306,1.73797,5.96
Italy,2015,0.95446,1.19777,1.25114,0.26236,0.22823,0.02901,2.02518,5.948
Bolivia,2015,0.5392,0.97841,0.68133,0.57414,0.20536,0.088,2.82334,5.89
Moldova,2015,0.61826,1.01528,0.59448,0.32818,0.20951,0.01615,3.10712,5.889
Paraguay,2015,0.66098,1.30477,0.75985,0.53899,0.3424,0.08242,2.18896,5.878
Kazakhstan,2015,0.64368,1.12241,1.12254,0.51649,0.11827,0.08454,2.24729,5.855
Slovenia,2015,0.87337,1.27385,1.18498,0.60855,0.25328,0.03787,1.61583,5.848
Lithuania,2015,0.73128,1.25745,1.14723,0.21342,0.02641,0.01031,2.44649,5.833
Nicaragua,2015,0.74314,1.14184,0.59325,0.55475,0.27815,0.19317,2.32407,5.828
Peru,2015,0.73017,0.97459,0.90019,0.41496,0.14982,0.05989,2.5945,5.824
Belarus,2015,0.73608,1.23289,1.03192,0.37938,0.11046,0.1909,2.1309,5.813
Poland,2015,0.77903,1.27948,1.12555,0.53122,0.16759,0.04212,1.86565,5.791
Malaysia,2015,0.72394,1.07023,1.12486,0.53024,0.33075,0.10501,1.88541,5.77
Croatia,2015,0.78805,0.79624,1.08254,0.25883,0.05444,0.0243,2.75414,5.759
