country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Denmark,2016,0.79504,1.16374,1.44178,0.57941,0.36171,0.44453,2.73939,7.526
Switzerland,2016,0.86303,1.14524,1.52733,0.58557,0.28083,0.41203,2.69463,7.509
Iceland,2016,0.86733,1.18326,1.42666,0.56624,0.47678,0.14975,2.83137,7.501
Norway,2016,0.79579,1.1269,1.57744,0.59609,0.37895,0.35776,2.66465,7.498
Finland,2016,0.81091,1.13464,1.40598,0.57104,0.25492,0.41004,2.82596,7.413
Canada,2016,0.8276,1.0961,1.44015,0.5737,0.44834,0.31329,2.70485,7.404
Netherlands,2016,0.81231,1.02912,1.46468,0.55211,0.47416,0.29927,2.70749,7.339
New Zealand,2016,0.83096,1.17278,1.36066,0.58147,0.49401,0.41904,2.47553,7.334
Australia,2016,0.8512,1.10476,1.44443,0.56837,0.47407,0.32331,2.5465,7.313
Sweden,2016,0.83121,1.08764,1.45181,0.58218,0.38254,0.40867,2.54734,7.291
Israel,2016,0.84917,0.99537,1.33766,0.36432,0.32288,0.08728,3.31029,7.267
Austria,2016,0.80565,1.08383,1.45038,0.54355,0.32865,0.21348,2.69343,7.119
United States,2016,0.779,1.04782,1.50796,0.48163,0.41077,0.14868,2.72782,7.104
Costa Rica,2016,0.76146,1.02152,1.06879,0.55225,0.22553,0.10547,3.35168,7.087
Puerto Rico,2016,0.77758,1.08113,1.35943,0.46823,0.22202,0.12275,3.0076,7.039
Germany,2016,0.81487,1.09774,1.44787,0.53466,0.30452,0.28551,2.50931,6.994
Brazil,2016,0.61415,1.03938,1.08754,0.40425,0.15776,0.14166,3.50733,6.952
Belgium,2016,0.81959,1.05249,1.42539,0.51354,0.2424,0.26248,2.61355,6.929
Ireland,2016,0.81455,1.16157,1.48341,0.54008,0.44963,0.29754,2.15988,6.907
Luxembourg,2016,0.84542,1.03999,1.69752,0.5487,0.27571,0.35329,2.11055,6.871
Mexico,2016,0.71143,0.7146,1.11508,0.37709,0.11735,0.18355,3.55906,6.778
Singapore,2016,0.94719,0.86758,1.64555,0.4877,0.32706,0.46987,1.99375,6.739
United Kingdom,2016,0.80991,1.08672,1.40283,0.50036,0.50156,0.27399,2.14999,6.725
Chile,2016,0.81883,0.90587,1.2167,0.37789,0.31595,0.11451,2.95505,6.705
Panama,2016,0.70835,0.98912,1.18306,0.48927,0.2418,0.08423,3.00559,6.701
